,date,company,ticker,quarterly_revenue_mil,gross_profit_mil,gross_margin
16,2009-03-31,alphabet,GOOGL,5509,3407,0.6184425485569068
17,2009-06-30,alphabet,GOOGL,5523,3415,0.6183233749773673
18,2009-09-30,alphabet,GOOGL,5945,3719,0.6255677039529016
19,2009-12-31,alphabet,GOOGL,6674,4266,0.639196883428229
20,2010-03-31,alphabet,GOOGL,6775,4323,0.6380811808118081
21,2010-06-30,alphabet,GOOGL,6820,4353,0.6382697947214077
22,2010-09-30,alphabet,GOOGL,7286,4734,0.6497392259127093
23,2010-12-31,alphabet,GOOGL,8440,5494,0.6509478672985782
24,2011-03-31,alphabet,GOOGL,8575,5639,0.6576093294460641
25,2011-06-30,alphabet,GOOGL,9026,5854,0.6485707954797253
26,2011-09-30,alphabet,GOOGL,9720,6342,0.6524691358024691
27,2011-12-31,alphabet,GOOGL,10584,6882,0.6502267573696145
28,2012-03-31,alphabet,GOOGL,10645,6856,0.6440582433067168
29,2012-06-30,alphabet,GOOGL,11807,7130,0.6038790547980012
30,2012-09-30,alphabet,GOOGL,13304,7349,0.5523902585688515
31,2012-12-31,alphabet,GOOGL,10283,7528,0.7320820772148205
32,2013-03-31,alphabet,GOOGL,12951,7815,0.6034283066944638
33,2013-06-30,alphabet,GOOGL,13107,7912,0.6036469062333104
34,2013-09-30,alphabet,GOOGL,13754,8345,0.6067325868838156
35,2013-12-31,alphabet,GOOGL,15707,9454,0.6018972432673331
36,2014-03-31,alphabet,GOOGL,15420,9459,0.6134241245136187
37,2014-06-30,alphabet,GOOGL,15955,9841,0.6167972422438107
38,2014-09-30,alphabet,GOOGL,16523,9828,0.5948072383949646
39,2014-12-31,alphabet,GOOGL,18103,11182,0.6176876760757886
40,2015-03-31,alphabet,GOOGL,17258,10902,0.6317070344188203
41,2015-06-30,alphabet,GOOGL,17727,11144,0.6286455689061883
42,2015-09-30,alphabet,GOOGL,18675,11638,0.623186077643909
43,2015-12-31,alphabet,GOOGL,21329,13141,0.6161095222467063
44,2016-03-31,alphabet,GOOGL,20257,12609,0.6224514982475193
45,2016-06-30,alphabet,GOOGL,21500,13370,0.621860465116279
46,2016-09-30,alphabet,GOOGL,22451,13752,0.6125339628524342
47,2016-12-31,alphabet,GOOGL,26064,15403,0.5909683855125845
48,2017-03-31,alphabet,GOOGL,24750,14955,0.6042424242424242
49,2017-06-30,alphabet,GOOGL,26010,15637,0.6011918492887351
50,2017-09-30,alphabet,GOOGL,27772,16624,0.5985885064093331
51,2017-12-31,alphabet,GOOGL,32323,18056,0.5586115150202642
52,2018-03-31,alphabet,GOOGL,31146,17679,0.5676170294740898
53,2018-06-30,alphabet,GOOGL,32657,18774,0.5748844045686989
54,2018-09-30,alphabet,GOOGL,33740,19459,0.5767338470657972
55,2018-12-31,alphabet,GOOGL,39276,21358,0.5437926469090538
56,2019-03-31,alphabet,GOOGL,36339,20327,0.5593714741737528
57,2019-06-30,alphabet,GOOGL,38944,21648,0.5558751027115859
58,2019-09-30,alphabet,GOOGL,40499,22931,0.5662115113953431
59,2019-12-31,alphabet,GOOGL,46075,25055,0.543787303309821
60,2020-03-31,alphabet,GOOGL,41159,22177,0.538812896328871
61,2020-06-30,alphabet,GOOGL,38297,19744,0.5155495208501971
62,2020-09-30,alphabet,GOOGL,46173,25056,0.5426547982587226
63,2020-12-31,alphabet,GOOGL,56898,30818,0.5416359098738093
0,2010-09-30,tencent-holding,TCEHY,774,774,1.0
1,2010-12-31,tencent-holding,TCEHY,841,841,1.0
2,2011-03-31,tencent-holding,TCEHY,975,975,1.0
3,2011-06-30,tencent-holding,TCEHY,1048,689,0.6574427480916031
4,2011-09-30,tencent-holding,TCEHY,1181,1181,1.0
5,2011-12-31,tencent-holding,TCEHY,1251,1251,1.0
6,2012-03-31,tencent-holding,TCEHY,1533,924,0.6027397260273972
7,2012-06-30,tencent-holding,TCEHY,1662,978,0.5884476534296029
8,2012-09-30,tencent-holding,TCEHY,1857,1099,0.5918147549811524
9,2012-12-31,tencent-holding,TCEHY,1934,1094,0.5656670113753878
10,2013-03-31,tencent-holding,TCEHY,2185,1236,0.565675057208238
11,2013-06-30,tencent-holding,TCEHY,2328,1266,0.5438144329896907
12,2013-09-30,tencent-holding,TCEHY,2527,1385,0.5480807281361298
13,2013-12-31,tencent-holding,TCEHY,2760,1427,0.5170289855072464
14,2014-03-31,tencent-holding,TCEHY,2982,1707,0.5724346076458753
15,2014-06-30,tencent-holding,TCEHY,3206,1977,0.6166562694946974
16,2014-09-30,tencent-holding,TCEHY,3223,3223,1.0
17,2014-12-31,tencent-holding,TCEHY,3408,3408,1.0
18,2015-03-31,tencent-holding,TCEHY,3662,2200,0.6007646095030038
19,2015-06-30,tencent-holding,TCEHY,3832,2356,0.6148225469728601
20,2015-09-30,tencent-holding,TCEHY,4239,2478,0.5845718329794763
21,2015-12-31,tencent-holding,TCEHY,4764,2764,0.5801847187237615
22,2016-03-31,tencent-holding,TCEHY,4892,2842,0.5809484873262469
23,2016-06-30,tencent-holding,TCEHY,5464,3132,0.5732064421669106
24,2016-09-30,tencent-holding,TCEHY,6058,3274,0.5404423902277979
25,2016-12-31,tencent-holding,TCEHY,6452,3469,0.5376627402355859
26,2017-03-31,tencent-holding,TCEHY,7195,3694,0.5134120917303683
27,2017-06-30,tencent-holding,TCEHY,8253,4127,0.5000605840300497
28,2017-09-30,tencent-holding,TCEHY,9775,4749,0.4858312020460358
29,2017-12-31,tencent-holding,TCEHY,9965,4735,0.47516307074761666
30,2018-03-31,tencent-holding,TCEHY,11566,5827,0.503804253847484
31,2018-06-30,tencent-holding,TCEHY,11560,5405,0.46756055363321797
32,2018-09-30,tencent-holding,TCEHY,11847,5216,0.4402802397231367
33,2018-12-31,tencent-holding,TCEHY,12275,5027,0.4095315682281059
34,2019-03-31,tencent-holding,TCEHY,12666,5901,0.46589294173377543
35,2019-06-30,tencent-holding,TCEHY,13021,5736,0.4405191613547347
36,2019-09-30,tencent-holding,TCEHY,13866,6058,0.4368960046156065
37,2019-12-31,tencent-holding,TCEHY,15041,6547,0.43527690977993483
38,2020-03-31,tencent-holding,TCEHY,15486,7565,0.4885057471264368
39,2020-06-30,tencent-holding,TCEHY,16210,7508,0.4631708821714991
2,2010-03-31,facebook,FB,345,245,0.7101449275362319
3,2010-06-30,facebook,FB,431,320,0.7424593967517401
4,2010-09-30,facebook,FB,467,336,0.7194860813704497
5,2010-12-31,facebook,FB,731,581,0.7948016415868673
6,2011-03-31,facebook,FB,731,564,0.771545827633379
7,2011-06-30,facebook,FB,895,685,0.7653631284916201
8,2011-09-30,facebook,FB,954,718,0.7526205450733753
9,2011-12-31,facebook,FB,1131,884,0.7816091954022989
10,2012-03-31,facebook,FB,1058,781,0.7381852551984878
11,2012-06-30,facebook,FB,1184,817,0.6900337837837838
12,2012-09-30,facebook,FB,1262,940,0.7448494453248812
13,2012-12-31,facebook,FB,1585,1187,0.7488958990536277
14,2013-03-31,facebook,FB,1458,1045,0.7167352537722909
15,2013-06-30,facebook,FB,1813,1348,0.7435190292333149
16,2013-09-30,facebook,FB,2016,1509,0.7485119047619048
17,2013-12-31,facebook,FB,2585,2095,0.8104448742746615
18,2014-03-31,facebook,FB,2502,2040,0.815347721822542
19,2014-06-30,facebook,FB,2910,2437,0.8374570446735395
20,2014-09-30,facebook,FB,3203,2638,0.823602872307212
21,2014-12-31,facebook,FB,3851,3198,0.8304336535964685
22,2015-03-31,facebook,FB,3543,2889,0.8154106689246401
23,2015-06-30,facebook,FB,4042,3374,0.8347352795645719
24,2015-09-30,facebook,FB,4501,3781,0.8400355476560765
25,2015-12-31,facebook,FB,5842,5017,0.858781239301609
26,2016-03-31,facebook,FB,5382,4544,0.84429580081754
27,2016-06-30,facebook,FB,6436,5519,0.8575201988812927
28,2016-09-30,facebook,FB,7011,6024,0.8592212237911853
29,2016-12-31,facebook,FB,8809,7762,0.8811442842547395
30,2017-03-31,facebook,FB,8032,6873,0.8557021912350598
31,2017-06-30,facebook,FB,9321,8084,0.8672889174981225
32,2017-09-30,facebook,FB,10328,8880,0.8597986057319907
33,2017-12-31,facebook,FB,12972,11362,0.875886524822695
34,2018-03-31,facebook,FB,11966,10039,0.8389603877653351
35,2018-06-30,facebook,FB,13231,11017,0.8326657093190235
36,2018-09-30,facebook,FB,13727,11309,0.8238508049828804
37,2018-12-31,facebook,FB,16914,14118,0.8346931536005676
38,2019-03-31,facebook,FB,15077,12261,0.813225442727333
39,2019-06-30,facebook,FB,16886,13579,0.8041572900627739
40,2019-09-30,facebook,FB,17652,14497,0.8212667119873103
41,2019-12-31,facebook,FB,21082,17590,0.8343610663124941
42,2020-03-31,facebook,FB,17737,14278,0.8049839318937814
43,2020-06-30,facebook,FB,18687,14858,0.7950981966072671
44,2020-09-30,facebook,FB,21470,17276,0.8046576618537494
45,2020-12-31,facebook,FB,28071,22861,0.8143992020234405
2,2014-03-31,shopify,SHOP,19,12,0.631578947368421
3,2014-06-30,shopify,SHOP,24,14,0.5833333333333334
4,2014-09-30,shopify,SHOP,27,16,0.5925925925925926
5,2014-12-31,shopify,SHOP,35,20,0.5714285714285714
6,2015-03-31,shopify,SHOP,37,22,0.5945945945945946
7,2015-06-30,shopify,SHOP,45,25,0.5555555555555556
8,2015-09-30,shopify,SHOP,53,29,0.5471698113207547
9,2015-12-31,shopify,SHOP,70,38,0.5428571428571428
10,2016-03-31,shopify,SHOP,73,40,0.547945205479452
11,2016-06-30,shopify,SHOP,87,48,0.5517241379310345
12,2016-09-30,shopify,SHOP,100,54,0.54
13,2016-12-31,shopify,SHOP,130,68,0.5230769230769231
14,2017-03-31,shopify,SHOP,127,72,0.5669291338582677
15,2017-06-30,shopify,SHOP,152,87,0.5723684210526315
16,2017-09-30,shopify,SHOP,171,100,0.5847953216374269
17,2017-12-31,shopify,SHOP,223,121,0.5426008968609866
18,2018-03-31,shopify,SHOP,214,124,0.5794392523364486
19,2018-06-30,shopify,SHOP,245,137,0.5591836734693878
20,2018-09-30,shopify,SHOP,270,150,0.5555555555555556
21,2018-12-31,shopify,SHOP,344,186,0.5406976744186046
22,2019-03-31,shopify,SHOP,320,180,0.5625
23,2019-06-30,shopify,SHOP,362,205,0.5662983425414365
24,2019-09-30,shopify,SHOP,391,217,0.5549872122762148
25,2019-12-31,shopify,SHOP,505,264,0.5227722772277228
26,2020-03-31,shopify,SHOP,470,257,0.5468085106382978
27,2020-06-30,shopify,SHOP,714,375,0.5252100840336135
28,2020-09-30,shopify,SHOP,767,405,0.5280312907431551
29,2020-12-31,shopify,SHOP,978,504,0.5153374233128835
2,2018-03-31,uber-technologies,UBER,2584,1428,0.5526315789473685
3,2018-06-30,uber-technologies,UBER,2768,1426,0.5151734104046243
4,2018-09-30,uber-technologies,UBER,2944,1434,0.48709239130434784
5,2018-12-31,uber-technologies,UBER,2974,1359,0.45696032279757903
6,2019-03-31,uber-technologies,UBER,3099,1418,0.45756695708293
7,2019-06-30,uber-technologies,UBER,3166,1426,0.4504106127605812
8,2019-09-30,uber-technologies,UBER,3813,1953,0.5121951219512195
10,2020-03-31,uber-technologies,UBER,3543,1757,0.49590742308777874
11,2020-06-30,uber-technologies,UBER,2241,989,0.44132083891120033
12,2020-09-30,uber-technologies,UBER,3129,1515,0.4841802492809204
0,2005-03-31,baidu,BIDU,6,6,1.0
1,2005-06-30,baidu,BIDU,8,6,0.75
2,2005-09-30,baidu,BIDU,11,8,0.7272727272727273
3,2005-12-31,baidu,BIDU,14,14,1.0
4,2006-03-31,baidu,BIDU,17,11,0.6470588235294118
5,2006-06-30,baidu,BIDU,24,17,0.7083333333333334
6,2006-09-30,baidu,BIDU,30,22,0.7333333333333333
7,2006-12-31,baidu,BIDU,35,24,0.6857142857142857
8,2007-03-31,baidu,BIDU,36,22,0.6111111111111112
9,2007-06-30,baidu,BIDU,52,33,0.6346153846153846
10,2007-09-30,baidu,BIDU,66,42,0.6363636363636364
11,2007-12-31,baidu,BIDU,78,46,0.5897435897435898
12,2008-03-31,baidu,BIDU,82,50,0.6097560975609756
13,2008-06-30,baidu,BIDU,116,75,0.646551724137931
14,2008-09-30,baidu,BIDU,134,89,0.664179104477612
15,2008-12-31,baidu,BIDU,132,83,0.6287878787878788
16,2009-03-31,baidu,BIDU,119,71,0.5966386554621849
17,2009-06-30,baidu,BIDU,161,102,0.6335403726708074
18,2009-09-30,baidu,BIDU,187,122,0.6524064171122995
19,2009-12-31,baidu,BIDU,185,119,0.6432432432432432
20,2010-03-31,baidu,BIDU,190,127,0.6684210526315789
21,2010-06-30,baidu,BIDU,282,206,0.7304964539007093
22,2010-09-30,baidu,BIDU,337,252,0.7477744807121661
23,2010-12-31,baidu,BIDU,372,278,0.7473118279569892
24,2011-03-31,baidu,BIDU,342,240,0.7017543859649122
25,2011-06-30,baidu,BIDU,528,393,0.7443181818181818
26,2011-09-30,baidu,BIDU,655,482,0.7358778625954199
27,2011-12-31,baidu,BIDU,711,517,0.7271448663853727
28,2012-03-31,baidu,BIDU,677,479,0.707533234859675
29,2012-06-30,baidu,BIDU,859,620,0.7217694994179278
30,2012-09-30,baidu,BIDU,995,725,0.7286432160804021
31,2012-12-31,baidu,BIDU,1050,722,0.6876190476190476
32,2015-03-31,baidu,BIDU,2074,1206,0.5814850530376084
33,2015-06-30,baidu,BIDU,2722,1654,0.6076414401175606
34,2015-09-30,baidu,BIDU,2939,1743,0.5930588635590337
35,2016-03-31,baidu,BIDU,2419,1263,0.5221165770979743
36,2016-06-30,baidu,BIDU,2796,1458,0.5214592274678111
37,2016-09-30,baidu,BIDU,2738,1349,0.4926953981008035
38,2016-12-31,baidu,BIDU,2208,1010,0.45742753623188404
39,2017-03-31,baidu,BIDU,2451,1111,0.4532843737250102
40,2017-06-30,baidu,BIDU,3043,1501,0.4932632270785409
41,2017-09-30,baidu,BIDU,3521,1752,0.49758591309287137
42,2017-12-31,baidu,BIDU,4019,2051,0.5103259517292859
43,2018-03-31,baidu,BIDU,3289,1731,0.5262997871693524
44,2018-06-30,baidu,BIDU,4075,2190,0.5374233128834356
45,2018-09-30,baidu,BIDU,4146,2056,0.49589966232513266
46,2018-12-31,baidu,BIDU,3366,1373,0.4079025549613785
47,2019-03-31,baidu,BIDU,3594,1384,0.3850862548692265
48,2019-06-30,baidu,BIDU,3835,1488,0.3880052151238592
49,2019-09-30,baidu,BIDU,3929,1637,0.4166454568592517
50,2019-12-31,baidu,BIDU,4071,1892,0.4647506755097028
51,2020-03-31,baidu,BIDU,3184,1110,0.34861809045226133
52,2020-06-30,baidu,BIDU,3685,1826,0.4955223880597015
53,2020-09-30,baidu,BIDU,4158,2272,0.5464165464165465
1,2018-03-31,bilibili,BILI,137,34,0.24817518248175183
2,2018-06-30,bilibili,BILI,161,39,0.2422360248447205
3,2018-09-30,bilibili,BILI,159,29,0.18238993710691823
4,2018-12-31,bilibili,BILI,144,23,0.1597222222222222
5,2019-03-31,bilibili,BILI,204,28,0.13725490196078433
6,2019-06-30,bilibili,BILI,225,37,0.16444444444444445
7,2019-09-30,bilibili,BILI,265,50,0.18867924528301888
8,2019-12-31,bilibili,BILI,280,56,0.2
9,2020-03-31,bilibili,BILI,332,76,0.2289156626506024
10,2020-06-30,bilibili,BILI,369,85,0.23035230352303523
11,2020-09-30,bilibili,BILI,466,110,0.23605150214592274
1,2009-03-31,zillow,ZG,3,3,1.0
2,2009-06-30,zillow,ZG,5,5,1.0
3,2009-09-30,zillow,ZG,6,6,1.0
4,2009-12-31,zillow,ZG,5,5,1.0
5,2010-03-31,zillow,ZG,5,5,1.0
6,2010-06-30,zillow,ZG,7,6,0.8571428571428571
7,2010-09-30,zillow,ZG,8,7,0.875
8,2010-12-31,zillow,ZG,10,10,1.0
9,2011-03-31,zillow,ZG,11,9,0.8181818181818182
10,2011-06-30,zillow,ZG,16,13,0.8125
11,2011-09-30,zillow,ZG,19,16,0.8421052631578947
12,2011-12-31,zillow,ZG,20,17,0.85
13,2012-03-31,zillow,ZG,23,19,0.8260869565217391
14,2012-06-30,zillow,ZG,28,25,0.8928571428571429
15,2012-09-30,zillow,ZG,32,28,0.875
16,2012-12-31,zillow,ZG,34,31,0.9117647058823529
17,2013-03-31,zillow,ZG,39,35,0.8974358974358975
18,2013-06-30,zillow,ZG,47,43,0.9148936170212766
19,2013-09-30,zillow,ZG,53,48,0.9056603773584906
20,2013-12-31,zillow,ZG,58,53,0.9137931034482759
21,2014-03-31,zillow,ZG,66,60,0.9090909090909091
22,2014-06-30,zillow,ZG,79,72,0.9113924050632911
23,2014-09-30,zillow,ZG,89,81,0.9101123595505618
24,2014-12-31,zillow,ZG,92,84,0.9130434782608695
25,2015-03-31,zillow,ZG,127,114,0.8976377952755905
26,2015-06-30,zillow,ZG,171,154,0.9005847953216374
27,2015-09-30,zillow,ZG,177,160,0.903954802259887
28,2015-12-31,zillow,ZG,169,156,0.9230769230769231
29,2016-03-31,zillow,ZG,186,170,0.9139784946236559
30,2016-06-30,zillow,ZG,208,192,0.9230769230769231
31,2016-09-30,zillow,ZG,225,207,0.92
32,2016-12-31,zillow,ZG,228,209,0.9166666666666666
33,2017-03-31,zillow,ZG,246,226,0.9186991869918699
34,2017-06-30,zillow,ZG,267,247,0.9250936329588015
35,2017-09-30,zillow,ZG,282,260,0.9219858156028369
36,2017-12-31,zillow,ZG,282,260,0.9219858156028369
37,2018-03-31,zillow,ZG,300,276,0.92
38,2018-06-30,zillow,ZG,325,300,0.9230769230769231
39,2018-09-30,zillow,ZG,343,306,0.892128279883382
40,2018-12-31,zillow,ZG,365,298,0.8164383561643835
41,2019-03-31,zillow,ZG,454,303,0.6674008810572687
42,2019-06-30,zillow,ZG,600,328,0.5466666666666666
43,2019-09-30,zillow,ZG,745,345,0.46308724832214765
44,2019-12-31,zillow,ZG,944,334,0.3538135593220339
45,2020-03-31,zillow,ZG,1126,364,0.32326820603907636
46,2020-06-30,zillow,ZG,768,307,0.3997395833333333
47,2020-09-30,zillow,ZG,657,440,0.669710806697108
48,2020-12-31,zillow,ZG,789,472,0.5982256020278834
1,2015-09-30,trade-desk,TTD,29,23,0.7931034482758621
3,2016-03-31,trade-desk,TTD,30,23,0.7666666666666667
4,2016-06-30,trade-desk,TTD,47,39,0.8297872340425532
5,2016-09-30,trade-desk,TTD,53,43,0.8113207547169812
6,2016-12-31,trade-desk,TTD,72,59,0.8194444444444444
7,2017-03-31,trade-desk,TTD,53,41,0.7735849056603774
8,2017-06-30,trade-desk,TTD,73,58,0.7945205479452054
9,2017-09-30,trade-desk,TTD,79,62,0.7848101265822784
10,2017-12-31,trade-desk,TTD,103,82,0.7961165048543689
11,2018-03-31,trade-desk,TTD,86,63,0.7325581395348837
12,2018-06-30,trade-desk,TTD,112,86,0.7678571428571429
13,2018-09-30,trade-desk,TTD,119,89,0.7478991596638656
14,2018-12-31,trade-desk,TTD,160,125,0.78125
15,2019-03-31,trade-desk,TTD,121,87,0.71900826446281
16,2019-06-30,trade-desk,TTD,160,125,0.78125
17,2019-09-30,trade-desk,TTD,164,124,0.7560975609756098
18,2019-12-31,trade-desk,TTD,216,169,0.7824074074074074
19,2020-03-31,trade-desk,TTD,161,120,0.7453416149068323
20,2020-06-30,trade-desk,TTD,139,97,0.697841726618705
21,2020-09-30,trade-desk,TTD,216,171,0.7916666666666666
2,2017-04-30,zscaler,ZS,33,26,0.7878787878787878
4,2017-10-31,zscaler,ZS,40,32,0.8
5,2018-01-31,zscaler,ZS,45,36,0.8
6,2018-04-30,zscaler,ZS,49,40,0.8163265306122449
7,2018-07-31,zscaler,ZS,56,45,0.8035714285714286
8,2018-10-31,zscaler,ZS,63,51,0.8095238095238095
9,2019-01-31,zscaler,ZS,74,59,0.7972972972972973
10,2019-04-30,zscaler,ZS,79,64,0.810126582278481
11,2019-07-31,zscaler,ZS,86,69,0.8023255813953488
12,2019-10-31,zscaler,ZS,94,74,0.7872340425531915
13,2020-01-31,zscaler,ZS,101,81,0.801980198019802
14,2020-04-30,zscaler,ZS,111,86,0.7747747747747747
15,2020-07-31,zscaler,ZS,126,95,0.753968253968254
16,2020-10-31,zscaler,ZS,143,111,0.7762237762237763
2,2014-03-31,etsy,ETSY,41,25,0.6097560975609756
3,2014-06-30,etsy,ETSY,43,25,0.5813953488372093
4,2014-09-30,etsy,ETSY,48,30,0.625
5,2014-12-31,etsy,ETSY,65,42,0.6461538461538462
6,2015-03-31,etsy,ETSY,59,38,0.6440677966101694
7,2015-06-30,etsy,ETSY,61,39,0.639344262295082
8,2015-09-30,etsy,ETSY,66,42,0.6363636363636364
